,,,,,,,
,キャラクター名,コスト,1      凸,2      凸,3      凸,4      凸,5      凸
,エルフィン,3,「後サブ格闘」の「クロスボウ・クラスターアロー」が使用可能になる,「Nサブ射撃」使用時慣性が乗りやすくなる,旋回性能が向上する（旋回半径4.1m→3.1m）,「サブ射撃主弾数」の弾数+1,「メイン格闘」中「サブ射撃派生」の「踏み撃ち」が使用可能になる
,ケルビム,3,「後サブ射撃」の「罪に問う鞭撻」が使用可能になる,「サブ射撃副弾数」のリロード時間2秒短縮,「サブ格闘」の耐久値増加（240→400？）,「メイン格闘」中、「サブ格闘派生」の最終段ダメージが増加し強制ダウンになる,「メイン格闘」中、「サブ射撃派生」の「審判・銃」が使用可能になる
,ヒカリ,3,「横サブ射撃」の「ビームキャノン・側転」が使用可能になる,「サブ射撃副弾数」の弾数+1,「メイン射撃主弾数」の弾数+2,「Nサブ射撃」の弾質が変化する（高速弾→狙撃弾）,「Nサブ射撃」を使用するとビームキャノンも連動して射撃する（連動ビームは高速弾）
,シュウウ,3,「後サブ格闘」の「擎天」が使用可能になる,「メイン射撃」を「Nサブ射撃」と「後サブ射撃」でキャンセル可能になる,「サブ格闘主弾数」のリロード時間2秒短縮,「メイン射撃」がチャージ可能になる,「メイン格闘」中、「サブ射撃派生」の「星移」が使用可能になる
,グリフィン,3,「メイン格闘」中、「メイン射撃派生」の「鷲爪連撃」が使用可能になる,「メイン射撃」と「サブ射撃」を「サブ格闘」でキャンセル可能になる,「メイン射撃主弾数」の弾数+1,「飛翔中メイン射撃主弾数」の弾数+1,「飛翔中バーストアタック」が追加される
,スズラン,3,「満開状態」中、「メイン射撃」が強化される,「メイン格闘」中、「サブ射撃派生」の「槍と矢」が使用可能になる,「メイン射撃主弾数」の弾数+2,「後サブ格闘」ゲージの上昇速度が上がる(10%短縮),「通常状態」中、「メイン格闘サブ格闘派生」を命中させると「後サブ格闘」ゲージをより多く回収する(5+15→5+25)
,キャヴァリー,3,「メイン射撃主弾数」の弾数+6,「アサルトモード」のブースト消費を緩和,「横サブ射撃」を使用するとミサイルも連動して発射される,「アサルトモード中メイン射撃」時、機動力が低下しない,「サブ射撃主弾数」弾数+1
,ラジエル,3,「後サブ射撃」中、「後メイン格闘派生」が現在ロックしている相手に攻撃を行う,「メイン格闘副弾数」のリロード時間-2秒,「後サブ射撃」中、「サブ射撃派生」の射撃回数+1,「後サブ射撃」にマシンガンが追加される,「メイン格闘」中、「サブ射撃派生」の「試練・銃」が使用可能になる
,影,3,「メイン射撃副弾数」の弾数+1,「サブ格闘」で影を設置した状態で「メイン射撃」を使用した場合、影が追加で左右に広がるダガーを射出する,「メイン格闘」中、「サブ射撃派生」の「紅蛇・滅」が使用可能になる,「サブ格闘」の持続時間+2秒,耐久値が500未満の場合「バーストアタック」が強化される
,ライン,3,「各種サブ格闘」弾数消費時にステップ効果が発動する,「メイン射撃主弾数」弾数+2,「各種武装」が命中した際、追加で各種進化ゲージが増加する,「各種サブ格闘」を「各種サブ格闘」でキャンセル可能になる,「後バーストアタック」の「黄昏の協奏」が使用可能になる
,ロタ,3,「各種サブ格闘初動」の弾数消費-10,「各種メイン格闘」命中時「各種サブ格闘」にキャンセル可能になる,「メイン格闘」中、「サブ射撃派生」の「エルフ槍術・陣風」が使用可能になる,「メイン射撃主弾数」の弾数+2,「後メイン格闘」結界の持続時間+0.5秒
,イーザー,3,「サブ射撃メイン射撃派生」を行うとキーが連動して攻撃する,「サブ射撃主弾数」のリロード時間2秒短縮,「メイン格闘」中「サブ格闘派生」の「術式・物理Ⅴ」が使用可能になる,「メイン格闘副弾数」のリロード時間1秒短縮,「後バーストアタック」の「元素嵐」が使用可能になる
,秋雲,3,「覚醒」中「サブ格闘」を1回復,「サブ射撃主弾数」の弾数+1,「メイン格闘副弾数」のリロード時間-3秒,登場時及び復活時に「サブ格闘主弾数」+1,「前バーストアタック」の「御霊・断罪」が使用可能になる
,ロンギヌスベータ,3,「サブ射撃主弾数」のリロード時間2秒短縮,「メイン射撃主弾数」弾数+2,「メイン格闘」中「サブ格闘派生」の「ガンブレード・追撃」が使用可能になる,「サブ格闘主弾数」のリロード時間2秒短縮,「後バーストアタック」の「無反動砲・集束反応弾」が使用可能になる
,キャミィ,3,「サブ格闘副弾薬」が時間経過で回復するようになる,後入力以外の「レバー入れサブ格闘」がオーバーヒート中でも使用可能になる,「後サブ射撃」を連打することで「リズムストーム」が発動可能になる,「サブ射撃主弾数」のリロード時間2秒短縮,「後バーストアタック」の「Encore~!」が使用可能になる
,セイレーン,3,「巡遊状態」時、「横or後サブ格闘」が弾切れ時でも使用可能になる（移動のみ）,「通常状態サブ射撃主弾数」+1,「ガード中メイン射撃派生」「ガード中サブ射撃派生」「ガード中メイン格闘派生」が使用可能になる,「メイン格闘」中、「サブ格闘派生」の「儚い泡の消滅」が使用可能になる,「巡遊状態」時に「後メイン格闘」の「深海の恐怖(巡遊)」が使用可能になる
,無銘,3,「各種サブ格闘」がオーバーヒート状態でも使用できる。ただし移動量は低下する,「シールド副弾数」のリロード時間16秒短縮,「サブ射撃副弾数」弾数+1,「メイン格闘」中、「後メイン格闘派生」の「驟雨」が使用可能になる,「後バーストアタック」の「断罪」が使用可能になる
,アカツキ,3,「後サブ格闘」の「エネルギー発射装置・収束」が使用可能になる,「サブ射撃副弾数」のリロード時間2秒短縮,「メイン格闘中」中、「サブ射撃派生」の「高速斬撃」が使用可能になる,「弾切れ中Nサブ射撃」の戻り時間が0.2秒短縮,「後バーストアタック」のブースト回復量が増加(50%→80%)
