,,,,,,,,,,,,,,,,,,,,
,,,リ　　　　　　ロ　　　　　　　ー　　　　　　　ド　　　　　　　　時　　　　　　　　間　　　　　　　　(s),,,,,,,,,,ピ　ョ　ン　格　の　性　能,,,,そ　の　他　デ　ー　タ,,,
,キャラクター名,コスト,メイン射撃主弾数,メイン射撃副弾数,サブ射撃主弾数,サブ射撃副弾数,サブ格闘主弾数,サブ格闘副弾数,メイン格闘主弾数,メイン格闘副弾数,シールド主弾数,シールド副弾数,上昇距離(m),下降距離(m),上昇速度(m/s),下降速度(m/s),各種効果時間(s),耐久値,赤ロック距離(m),
,エルフィン,3,5 ※3,,10,10,12,10,,,2,,,,,,,,37,
,ケルビム,3,3,6 ※5,6,8,8,,,,2,,,,,,,400,33,
,ヒカリ,3,3 ※3,,8,10,30 ※4 ※4,,,12,2,,,,,,23,,33,
,ヒカリ (レガリア),3,3 ※3,,8,10,12,10,,12,2,,,,,,23,,33,
,シュウウ,3,4,6,3,14,8 ※1,8,,4,2,,3.1,∞,9.3,26.3,,,33,
,グリフィン,3,8,,12,,,,,,2,,,,,,,,33,
,グリフィン(飛翔),3,10,,10,10,,,15,15,2,,,,,,,,33,
,グリフィン,3,8,,3,,,,,,2,,,,,,,,33,
,スズラン,3,3 ※3,,8,10,12,36  ※1 ※4,,,2,,9.1,23,15.1,30,16.5,,33,
,スズラン(満開),3,3 ※3,,8,10,12,,,,2,,,,,,16.5,400,33,
,キャヴァリー,3,7,,9,6,4,,[],12,2,,,,,,20,,34,  メイン格闘主弾数の数値は格闘CSのチャージ時間
,キャヴァ(アサルト),3,3.3 ※2,,5 ※3,,8 ※3,,15,15,2,,,,,,20,,34,
,ラジエル,3,3,4 ※1 ※5,5  ※1,1.1 ※1 ※2,1 ※1,6 ※1,,4,2,,4.7,∞,12.8,56.7,,,31 ※3,
,影,3,3,13 ※3,8 ※3,8 ※3,3 ※4,3 ※4,6,,2,,,,,,5,,27,
,ライン,3,3,,6,,5,,8,,2,,,,,,,,33,
,ライン(進化）,3,3,,6,12,5,,8,8,2,,,,,,,,33,
